id,exchange,symbol,date,price,amount,bid
9998570,cb,btcusd,1.46785E+12,677.78,0.2,TRUE
9998571,cb,btcusd,1.46785E+12,677.78,0.2,TRUE
9998572,cb,btcusd,1.46785E+12,677.78,0.1999,TRUE
9998573,cb,btcusd,1.46785E+12,678.13,1.1318,FALSE
9998575,cb,btcusd,1.46785E+12,677.77,0.01,TRUE
9998574,cb,btcusd,1.46785E+12,677.87,0.015,TRUE
9998576,cb,btcusd,1.46785E+12,677.74,0.025,TRUE
9998577,cb,btcusd,1.46785E+12,677.72,0.77,TRUE
9998580,cb,btcusd,1.46785E+12,677.65,0.025,TRUE
9998581,cb,btcusd,1.46785E+12,677.62,0.025,TRUE
9998582,cb,btcusd,1.46785E+12,677.62,0.01,TRUE
9998579,cb,btcusd,1.46785E+12,677.66,0.025,TRUE
9998578,cb,btcusd,1.46785E+12,677.67,0.114,TRUE
9998587,cb,btcusd,1.46785E+12,677.55,0.025,TRUE
9998586,cb,btcusd,1.46785E+12,677.56,0.4165,TRUE
9998583,cb,btcusd,1.46785E+12,677.61,0.121,TRUE
9998585,cb,btcusd,1.46785E+12,677.58,0.1753,TRUE
9998584,cb,btcusd,1.46785E+12,677.59,0.025,TRUE
9998590,cb,btcusd,1.46785E+12,677.54,0.28,TRUE
9998588,cb,btcusd,1.46785E+12,677.54,0.025,TRUE
9998591,cb,btcusd,1.46785E+12,677.53,0.025,TRUE
9998589,cb,btcusd,1.46785E+12,677.54,0.025,TRUE
9998592,cb,btcusd,1.46785E+12,677.53,0.31,TRUE
9998596,cb,btcusd,1.46785E+12,677.52,0.54,TRUE
9998595,cb,btcusd,1.46785E+12,677.52,0.025,TRUE
9998594,cb,btcusd,1.46785E+12,677.52,0.025,TRUE
9998593,cb,btcusd,1.46785E+12,677.53,0.099,TRUE
9998600,cb,btcusd,1.46785E+12,677.5,0.025,TRUE
9998601,cb,btcusd,1.46785E+12,677.5,0.05194047,TRUE
9998599,cb,btcusd,1.46785E+12,677.5,0.02002953,TRUE
9998598,cb,btcusd,1.46785E+12,677.5,0.025,TRUE
9998597,cb,btcusd,1.46785E+12,677.51,1,TRUE
9998602,cb,btcusd,1.46785E+12,677.85,0.02343,TRUE
9998603,cb,btcusd,1.46785E+12,677.8,0.4319,FALSE
9998604,cb,btcusd,1.46785E+12,677.8,0.193,FALSE
9998606,cb,btcusd,1.46785E+12,677.82,0.121,FALSE
9998605,cb,btcusd,1.46785E+12,677.82,0.3554,FALSE
9998607,cb,btcusd,1.46785E+12,677.84,0.015,FALSE
9998609,cb,btcusd,1.46785E+12,677.86,0.025,FALSE
9998608,cb,btcusd,1.46785E+12,677.85,0.025,FALSE
9998610,cb,btcusd,1.46785E+12,677.87,0.025,FALSE
9998611,cb,btcusd,1.46785E+12,677.88,0.025,FALSE
9998612,cb,btcusd,1.46785E+12,677.89,0.025,FALSE
9998613,cb,btcusd,1.46785E+12,677.9,0.025,FALSE
9998614,cb,btcusd,1.46785E+12,677.91,0.025,FALSE
9998618,cb,btcusd,1.46785E+12,677.95,0.025,FALSE
9998620,cb,btcusd,1.46785E+12,677.98,0.228,FALSE
9998615,cb,btcusd,1.46785E+12,677.92,0.025,FALSE
9998617,cb,btcusd,1.46785E+12,677.94,0.025,FALSE
9998616,cb,btcusd,1.46785E+12,677.93,0.025,FALSE
9998619,cb,btcusd,1.46785E+12,677.96,0.025,FALSE
9998623,cb,btcusd,1.46785E+12,678.02,0.2,FALSE
9998621,cb,btcusd,1.46785E+12,677.98,0.203,FALSE
9998622,cb,btcusd,1.46785E+12,678.01,0.3436,FALSE
